Date,American Airlines,Apple,Bitcoin,Ropa,Zlato,Med,Lufthansa,Zemni plyn,Stribro,Tesla
01.01.2015,49,29,217,48,1279,3,17,3,17,41
01.02.2015,48,32,254,60,1182,3,15,3,16,41
01.03.2015,53,31,244,60,1189,3,14,3,17,38
01.04.2015,48,31,236,59,1172,3,14,3,16,45
01.05.2015,42,33,230,47,1095,2,14,3,15,50
01.06.2015,40,31,263,49,1132,2,13,3,15,54
01.07.2015,40,30,285,45,1116,2,14,3,15,53
01.08.2015,39,28,230,47,1142,2,12,2,16,50
01.09.2015,39,28,236,37,1060,2,14,2,14,50
01.10.2015,46,30,314,34,1116,2,15,2,14,41
01.11.2015,41,30,377,34,1234,2,14,2,15,46
01.12.2015,42,26,431,38,1234,2,16,2,15,48
01.01.2016,39,24,369,46,1289,2,15,2,18,38
01.02.2016,41,24,438,48,1318,2,15,3,19,38
01.03.2016,41,27,417,42,1349,2,16,3,20,46
01.04.2016,35,23,448,45,1307,2,16,3,19,48
01.05.2016,32,25,531,48,1313,2,14,3,19,45
01.06.2016,28,24,673,47,1272,2,12,3,18,42
01.07.2016,36,26,625,49,1171,3,12,3,16,47
01.08.2016,36,27,575,54,1150,2,12,4,16,42
01.09.2016,37,28,610,54,1253,3,11,3,18,41
01.10.2016,41,28,701,51,1247,3,13,3,18,40
01.11.2016,46,28,746,49,1266,3,13,3,17,38
01.12.2016,47,29,964,48,1272,3,13,3,17,43
01.01.2017,44,30,970,46,1241,3,13,3,17,50
01.02.2017,46,34,1180,50,1267,3,15,3,17,50
01.03.2017,42,36,1072,47,1316,3,16,3,17,56
01.04.2017,43,36,1348,52,1282,3,17,3,17,63
01.05.2017,48,38,2286,57,1273,3,19,3,16,68
01.06.2017,50,36,2481,60,1306,3,23,3,17,72
01.07.2017,50,37,2875,65,1339,3,21,3,17,65
01.08.2017,45,41,4703,62,1316,3,25,3,16,71
01.09.2017,47,39,4339,65,1323,3,28,3,16,68
01.10.2017,47,42,6468,67,1300,3,32,3,16,66
01.11.2017,50,43,10234,74,1251,3,34,3,16,62
01.12.2017,52,42,14156,70,1200,3,37,3,14,62
01.01.2018,54,42,10221,73,1192,3,36,3,15,71
01.02.2018,54,45,10398,65,1212,3,33,3,14,69
01.03.2018,52,42,6974,51,1220,3,32,5,14,53
01.04.2018,43,41,9241,45,1278,3,29,3,15,59
01.05.2018,44,47,7494,54,1320,3,27,3,16,57
01.06.2018,38,46,6404,57,1313,3,24,3,16,69
01.07.2018,40,48,7780,60,1293,3,28,3,15,60
01.08.2018,40,57,7038,64,1283,3,26,3,15,60
01.09.2018,41,56,6626,54,1306,3,25,2,15,53
01.10.2018,35,55,6318,58,1410,3,20,2,15,67
01.11.2018,40,45,4017,59,1426,3,25,2,16,70
01.12.2018,32,39,3743,55,1519,3,23,2,18,67
01.01.2019,36,42,3458,54,1511,3,25,3,18,61
01.02.2019,36,43,3855,55,1466,3,26,2,17,64
01.03.2019,32,47,4105,52,1583,3,22,2,18,56
01.04.2019,34,50,5351,45,1564,3,24,2,16,48
01.05.2019,27,44,8575,19,1684,2,19,2,15,37
01.06.2019,33,49,10817,35,1737,2,17,2,18,45
01.07.2019,31,53,10086,39,1793,3,16,2,19,48
01.08.2019,26,52,9631,40,1963,3,15,2,24,45
01.09.2019,27,56,8294,43,1968,3,16,3,28,48
01.10.2019,30,62,9200,40,1888,3,17,3,23,63
01.11.2019,29,67,7570,36,1877,3,19,3,24,66
01.12.2019,29,73,7194,49,1893,4,18,3,26,84
01.01.2020,27,77,9351,52,1583,3,15,2,18,130
01.02.2020,19,68,8600,45,1564,3,13,2,16,134
01.03.2020,12,64,6439,29,1589,2,9,2,13,105
01.04.2020,12,73,8659,19,1684,2,9,2,15,156
01.05.2020,11,79,9461,35,1737,2,10,2,18,167
01.06.2020,13,91,9138,39,1793,3,10,2,19,216
01.07.2020,11,106,11323,40,1963,3,9,2,24,286
01.08.2020,13,129,11681,43,1968,3,10,3,28,498
01.09.2020,12,116,10788,40,1888,3,9,3,23,429
01.10.2020,11,109,13781,36,1877,3,9,3,24,388
01.11.2020,14,119,19626,41,1895,3,12,3,25,568
01.12.2020,16,133,29002,49,1893,4,13,3,26,706
